"","naics","high","uppermiddle","lowermiddle","low"
"447","811000",0.043,0.519,0.437,0
"448","811100",0.029,0.521,0.45,0
"449","811110",0.027,0.716,0.257,0
"450","811120",0.037,0.594,0.368,0
"451","811190",0.023,0.109,0.866,0.001
"452","811200",0.132,0.572,0.294,0
"453","811300",0.064,0.52,0.415,0
"454","811400",0.034,0.414,0.55,0
"455","812000",0.027,0.025,0.48,0.468
"456","812100",0.014,0.007,0.245,0.733
"457","812200",0.08,0.028,0.413,0.478
"458","812300",0.024,0.026,0.947,0.001
"459","812900",0.035,0.063,0.562,0.34
"460","813000",0.094,0.473,0.299,0.128
"461","8132-3",0.19,0.474,0.257,0.078
"462","813200",0.211,0.483,0.259,0.042
"463","813300",0.173,0.465,0.228,0.107
"464","8134-9",0.12,0.347,0.287,0.246
"465","813400",0.054,0.227,0.21,0.509
"466","813900",0.174,0.446,0.349,0.03
"467","813930",0.085,0.674,0.236,0.002
"468","814000",0.013,0.008,0.48,0.499
"469","900000",0.183,0.475,0.308,0.034
"470","910000",0.268,0.388,0.337,0.007
"471","491100",0.049,0.044,0.907,0
"472","999100",0.329,0.483,0.179,0.008
"473","9992-3",0.154,0.505,0.298,0.043
"474","999200",0.208,0.514,0.252,0.026
"475","999300",0.132,0.501,0.317,0.05
